code,name,k_code,k_name,currency,postfix
078520,ABLE C&amp;C,032004,Manufacture of Other Chemical Products,KRW,KRX
090430,AMOREPACIFIC,032004,Manufacture of Other Chemical Products,KRW,KRX
138930,BNK Financial Group,116409,Other Financial Intermediation,KRW,KRX
185750,CHONGKUNDANG,032102,Manufacture of Medicaments,KRW,KRX
000480,CHOSUN REFRCTR,032302,Manufacture of Ceramic Ware,KRW,KRX
019680,DAEKYO,168501,Primary Education,KRW,KRX
001230,DONGKUK STL MILL,032401,Manufacture of Basic Iron and Steel,KRW,KRX
036580,FARMSCO,031006,"Manufacture of Grain Mill Products, Starches and Starch Products",KRW,KRX
006280,GC Corp,032102,Manufacture of Medicaments,KRW,KRX
007070,GS Retail,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
000880,HANWHA,032004,Manufacture of Other Chemical Products,KRW,KRX
088350,HANWHA LIFE,116501,Insurance,KRW,KRX
012450,HANWHA TECHWIN,033103,"Manufacture of Aircraft, Spacecraft and its Parts",KRW,KRX
000080,HITE JINRO,031101,Manufacture of Alcoholic Beverages,KRW,KRX
010690,HWASHIN,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
004800,HYOSUNG,032005,Manufacture of Man-Made Fibers,KRW,KRX
017800,HYUNDAI ELEV,032901,Manufacture of General Purpose Machinery,KRW,KRX
086280,HYUNDAI GLOVIS,085209,Other Services Allied to Transport Agency,KRW,KRX
011200,HYUNDAI MERC MAR,085001,Sea and Coastal Water Transport,KRW,KRX
005380,HYUNDAI MTR,033001,Manufacture of Motor Vehicles and Engines for Motor Vehicles,KRW,KRX
128940,HanmiPharm,032102,Manufacture of Medicaments,KRW,KRX
004710,Hansol Technics,032602,Manufacture of Electronic Components,KRW,KRX
012630,Hyundai Dvp Co,064101,Building Construction,KRW,KRX
024110,IBK,116401,Banking and Savings Institutions,KRW,KRX
020150,ILJIN MATERIALS,032602,Manufacture of Electronic Components,KRW,KRX
051600,KEPCO KPS,064203,Electrical and Communication Works,KRW,KRX
002240,KIS WIRE,032401,Manufacture of Basic Iron and Steel,KRW,KRX
104700,KISCO,032401,Manufacture of Basic Iron and Steel,KRW,KRX
025540,KOR ELEC TERM,032801,"Manufacture of Electric Motors, Generators and Transforming, Distributing and Controlling Apparatus of Electricity",KRW,KRX
007690,KUKDO CHEM,032001,Manufacture of Basic Chemicals,KRW,KRX
073240,KUMHO TIRE,032201,Manufacture of Rubber Products,KRW,KRX
051910,LG CHEM,032001,Manufacture of Basic Chemicals,KRW,KRX
066570,LG ELECTRONICS INC.,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,KRW,KRX
108670,LG HAUSYS,032202,Manufacture of Plastic Products,KRW,KRX
001120,LG INT,074601,Wholesale on a Fee or Contract Basis,KRW,KRX
005300,LOTTE CHILSUNG,031102,"Manufacture of Ice and Non-alcoholic Beverages, Production of Mineral Waters",KRW,KRX
004000,LOTTE Fine Chem,032001,Manufacture of Basic Chemicals,KRW,KRX
005490,POSCO,032401,Manufacture of Basic Iron and Steel,KRW,KRX
005090,SAMKWANG GLASS,032301,Manufacture of Glass and Glass Products,KRW,KRX
010140,SAMSUNG HVY IND,033101,Building of Ships and Boats,KRW,KRX
032830,SAMSUNG LIFE,116501,Insurance,KRW,KRX
034120,SBS,106002,Television Broadcasting,KRW,KRX
003030,SEAH STL,032401,Manufacture of Basic Iron and Steel,KRW,KRX
055550,SHINHAN FINANCIAL GR,116409,Other Financial Intermediation,KRW,KRX
004170,SHINSEGAE,074701,Retail Sale in Non-Specialized Stores,KRW,KRX
000660,SK hynix,032601,Manufacture of Semiconductor,KRW,KRX
001740,"SKNetworksCo.,Ltd",074607,Other Specialized Wholesale,KRW,KRX
005850,SL CORP.,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,KRW,KRX
014830,UNID,032001,Manufacture of Basic Chemicals,KRW,KRX
